"","Id","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","Date","Time"
"1",1503960366,1,327,346,2016-04-12,"12:00:00"
"2",1503960366,2,384,407,2016-04-13,"12:00:00"
"3",1503960366,1,412,442,2016-04-15,"12:00:00"
"4",1503960366,2,340,367,2016-04-16,"12:00:00"
"5",1503960366,1,700,712,2016-04-17,"12:00:00"
"6",1503960366,1,304,320,2016-04-19,"12:00:00"
"7",1503960366,1,360,377,2016-04-20,"12:00:00"
"8",1503960366,1,325,364,2016-04-21,"12:00:00"
"9",1503960366,1,361,384,2016-04-23,"12:00:00"
"10",1503960366,1,430,449,2016-04-24,"12:00:00"
"11",1503960366,1,277,323,2016-04-25,"12:00:00"
"12",1503960366,1,245,274,2016-04-26,"12:00:00"
"13",1503960366,1,366,393,2016-04-28,"12:00:00"
"14",1503960366,1,341,354,2016-04-29,"12:00:00"
"15",1503960366,1,404,425,2016-04-30,"12:00:00"
"16",1503960366,1,369,396,2016-05-01,"12:00:00"
"17",1503960366,1,277,309,2016-05-02,"12:00:00"
"18",1503960366,1,273,296,2016-05-03,"12:00:00"
"19",1503960366,1,247,264,2016-05-05,"12:00:00"
"20",1503960366,1,334,367,2016-05-06,"12:00:00"
"21",1503960366,1,331,349,2016-05-07,"12:00:00"
"22",1503960366,1,594,611,2016-05-08,"12:00:00"
"23",1503960366,1,338,342,2016-05-09,"12:00:00"
"24",1503960366,1,383,403,2016-05-10,"12:00:00"
"25",1503960366,1,285,306,2016-05-11,"12:00:00"
"26",1644430081,1,119,127,2016-04-29,"12:00:00"
"27",1644430081,1,124,142,2016-04-30,"12:00:00"
"28",1644430081,1,796,961,2016-05-02,"12:00:00"
"29",1644430081,1,137,154,2016-05-08,"12:00:00"
"30",1844505072,1,644,961,2016-04-15,"12:00:00"
"31",1844505072,1,722,961,2016-04-30,"12:00:00"
"32",1844505072,1,590,961,2016-05-01,"12:00:00"
"33",1927972279,3,750,775,2016-04-12,"12:00:00"
"34",1927972279,1,398,422,2016-04-13,"12:00:00"
"35",1927972279,2,475,499,2016-04-15,"12:00:00"
"36",1927972279,1,296,315,2016-04-26,"12:00:00"
"37",1927972279,1,166,178,2016-04-28,"12:00:00"
"38",2026352035,1,503,546,2016-04-12,"12:00:00"
"39",2026352035,1,531,565,2016-04-13,"12:00:00"
"40",2026352035,1,545,568,2016-04-14,"12:00:00"
"41",2026352035,1,523,573,2016-04-15,"12:00:00"
"42",2026352035,1,524,567,2016-04-16,"12:00:00"
"43",2026352035,1,437,498,2016-04-17,"12:00:00"
"44",2026352035,1,498,540,2016-04-19,"12:00:00"
"45",2026352035,1,461,510,2016-04-20,"12:00:00"
"46",2026352035,1,477,514,2016-04-21,"12:00:00"
"47",2026352035,1,520,545,2016-04-22,"12:00:00"
"48",2026352035,1,522,554,2016-04-23,"12:00:00"
"49",2026352035,1,555,591,2016-04-24,"12:00:00"
"50",2026352035,1,506,531,2016-04-25,"12:00:00"
"51",2026352035,1,508,545,2016-04-27,"12:00:00"
"52",2026352035,1,513,545,2016-04-28,"12:00:00"
"53",2026352035,1,490,510,2016-04-29,"12:00:00"
"54",2026352035,1,573,607,2016-04-30,"12:00:00"
"55",2026352035,1,527,546,2016-05-01,"12:00:00"
"56",2026352035,1,511,543,2016-05-02,"12:00:00"
"57",2026352035,1,538,560,2016-05-04,"12:00:00"
"58",2026352035,1,468,485,2016-05-05,"12:00:00"
"59",2026352035,1,524,548,2016-05-06,"12:00:00"
"60",2026352035,1,511,521,2016-05-07,"12:00:00"
"61",2026352035,1,541,568,2016-05-08,"12:00:00"
"62",2026352035,1,531,556,2016-05-09,"12:00:00"
"63",2026352035,1,357,380,2016-05-10,"12:00:00"
"64",2026352035,1,523,553,2016-05-11,"12:00:00"
"65",2026352035,1,456,485,2016-05-12,"12:00:00"
"66",2320127002,1,61,69,2016-04-23,"12:00:00"
"67",2347167796,1,467,531,2016-04-13,"12:00:00"
"68",2347167796,1,445,489,2016-04-14,"12:00:00"
"69",2347167796,1,452,504,2016-04-15,"12:00:00"
"70",2347167796,1,556,602,2016-04-17,"12:00:00"
"71",2347167796,1,500,557,2016-04-18,"12:00:00"
"72",2347167796,1,465,514,2016-04-19,"12:00:00"
"73",2347167796,1,460,484,2016-04-21,"12:00:00"
"74",2347167796,1,405,461,2016-04-22,"12:00:00"
"75",2347167796,1,374,386,2016-04-23,"12:00:00"
"76",2347167796,1,442,459,2016-04-24,"12:00:00"
"77",2347167796,1,433,471,2016-04-25,"12:00:00"
"78",2347167796,1,436,490,2016-04-26,"12:00:00"
"79",2347167796,1,448,499,2016-04-27,"12:00:00"
"80",2347167796,1,408,450,2016-04-28,"12:00:00"
"81",2347167796,1,411,473,2016-04-29,"12:00:00"
"82",3977333714,1,274,469,2016-04-12,"12:00:00"
"83",3977333714,2,295,456,2016-04-13,"12:00:00"
"84",3977333714,1,291,397,2016-04-14,"12:00:00"
"85",3977333714,1,424,556,2016-04-15,"12:00:00"
"86",3977333714,1,283,510,2016-04-16,"12:00:00"
"87",3977333714,1,381,566,2016-04-17,"12:00:00"
"88",3977333714,2,412,522,2016-04-18,"12:00:00"
"89",3977333714,1,219,395,2016-04-19,"12:00:00"
"90",3977333714,2,152,305,2016-04-20,"12:00:00"
"91",3977333714,1,332,512,2016-04-21,"12:00:00"
"92",3977333714,1,355,476,2016-04-22,"12:00:00"
"93",3977333714,1,235,372,2016-04-23,"12:00:00"
"94",3977333714,1,310,526,2016-04-24,"12:00:00"
"95",3977333714,1,262,467,2016-04-25,"12:00:00"
"96",3977333714,1,250,371,2016-04-26,"12:00:00"
"97",3977333714,1,349,540,2016-04-27,"12:00:00"
"98",3977333714,1,261,423,2016-04-28,"12:00:00"
"99",3977333714,1,333,478,2016-04-29,"12:00:00"
"100",3977333714,1,237,382,2016-04-30,"12:00:00"
"101",3977333714,1,383,626,2016-05-01,"12:00:00"
"102",3977333714,1,230,384,2016-05-02,"12:00:00"
"103",3977333714,1,292,500,2016-05-03,"12:00:00"
"104",3977333714,1,213,336,2016-05-04,"12:00:00"
"105",3977333714,1,318,480,2016-05-05,"12:00:00"
"106",3977333714,1,323,512,2016-05-06,"12:00:00"
"107",3977333714,1,237,443,2016-05-07,"12:00:00"
"108",3977333714,2,259,456,2016-05-08,"12:00:00"
"109",3977333714,1,312,452,2016-05-10,"12:00:00"
"110",4020332650,1,501,541,2016-04-12,"12:00:00"
"111",4020332650,1,77,77,2016-04-16,"12:00:00"
"112",4020332650,1,322,332,2016-05-03,"12:00:00"
"113",4020332650,1,478,536,2016-05-04,"12:00:00"
"114",4020332650,1,226,248,2016-05-05,"12:00:00"
"115",4020332650,1,385,408,2016-05-06,"12:00:00"
"116",4020332650,1,364,402,2016-05-08,"12:00:00"
"117",4020332650,1,442,494,2016-05-10,"12:00:00"
"118",4319703577,1,535,557,2016-04-14,"12:00:00"
"119",4319703577,1,465,491,2016-04-15,"12:00:00"
"120",4319703577,1,506,522,2016-04-16,"12:00:00"
"121",4319703577,1,515,551,2016-04-18,"12:00:00"
"122",4319703577,2,461,498,2016-04-19,"12:00:00"
"123",4319703577,1,523,543,2016-04-20,"12:00:00"
"124",4319703577,1,59,65,2016-04-21,"12:00:00"
"125",4319703577,1,533,550,2016-04-22,"12:00:00"
"126",4319703577,1,692,722,2016-04-23,"12:00:00"
"127",4319703577,1,467,501,2016-04-24,"12:00:00"
"128",4319703577,1,488,506,2016-04-25,"12:00:00"
"129",4319703577,1,505,516,2016-04-26,"12:00:00"
"130",4319703577,1,286,307,2016-04-27,"12:00:00"
"131",4319703577,1,497,522,2016-04-28,"12:00:00"
"132",4319703577,1,523,546,2016-04-29,"12:00:00"
"133",4319703577,1,490,516,2016-04-30,"12:00:00"
"134",4319703577,1,484,500,2016-05-01,"12:00:00"
"135",4319703577,1,478,506,2016-05-02,"12:00:00"
"136",4319703577,1,474,512,2016-05-03,"12:00:00"
"137",4319703577,1,450,491,2016-05-06,"12:00:00"
"138",4319703577,1,507,530,2016-05-07,"12:00:00"
"139",4319703577,1,602,638,2016-05-08,"12:00:00"
"140",4319703577,1,535,565,2016-05-09,"12:00:00"
"141",4319703577,1,487,517,2016-05-10,"12:00:00"
"142",4319703577,1,529,558,2016-05-11,"12:00:00"
"143",4319703577,1,302,321,2016-05-12,"12:00:00"
"144",4388161847,1,499,526,2016-04-15,"12:00:00"
"145",4388161847,2,426,448,2016-04-16,"12:00:00"
"146",4388161847,2,619,641,2016-04-17,"12:00:00"
"147",4388161847,1,99,104,2016-04-18,"12:00:00"
"148",4388161847,1,329,338,2016-04-19,"12:00:00"
"149",4388161847,1,421,451,2016-04-20,"12:00:00"
"150",4388161847,1,442,458,2016-04-21,"12:00:00"
"151",4388161847,1,82,85,2016-04-22,"12:00:00"
"152",4388161847,1,478,501,2016-04-23,"12:00:00"
"153",4388161847,3,552,595,2016-04-24,"12:00:00"
"154",4388161847,1,319,346,2016-04-26,"12:00:00"
"155",4388161847,1,439,500,2016-04-27,"12:00:00"
"156",4388161847,1,428,458,2016-04-28,"12:00:00"
"157",4388161847,2,409,430,2016-04-30,"12:00:00"
"158",4388161847,1,547,597,2016-05-01,"12:00:00"
"159",4388161847,2,368,376,2016-05-02,"12:00:00"
"160",4388161847,1,390,414,2016-05-04,"12:00:00"
"161",4388161847,1,471,495,2016-05-05,"12:00:00"
"162",4388161847,1,471,495,2016-05-05,"12:00:00"
"163",4388161847,1,472,496,2016-05-07,"12:00:00"
"164",4388161847,2,529,541,2016-05-08,"12:00:00"
"165",4388161847,1,62,65,2016-05-09,"12:00:00"
"166",4388161847,1,354,375,2016-05-10,"12:00:00"
"167",4388161847,1,469,494,2016-05-11,"12:00:00"
"168",4445114986,2,429,457,2016-04-12,"12:00:00"
"169",4445114986,2,370,406,2016-04-13,"12:00:00"
"170",4445114986,1,441,492,2016-04-14,"12:00:00"
"171",4445114986,2,337,379,2016-04-15,"12:00:00"
"172",4445114986,1,462,499,2016-04-16,"12:00:00"
"173",4445114986,1,98,107,2016-04-17,"12:00:00"
"174",4445114986,2,388,424,2016-04-19,"12:00:00"
"175",4445114986,1,439,462,2016-04-20,"12:00:00"
"176",4445114986,1,436,469,2016-04-21,"12:00:00"
"177",4445114986,1,388,417,2016-04-22,"12:00:00"
"178",4445114986,1,328,345,2016-04-25,"12:00:00"
"179",4445114986,2,353,391,2016-04-26,"12:00:00"
"180",4445114986,1,332,374,2016-04-27,"12:00:00"
"181",4445114986,1,419,442,2016-04-28,"12:00:00"
"182",4445114986,1,106,108,2016-04-29,"12:00:00"
"183",4445114986,1,322,353,2016-04-30,"12:00:00"
"184",4445114986,2,439,459,2016-05-01,"12:00:00"
"185",4445114986,1,502,542,2016-05-02,"12:00:00"
"186",4445114986,2,417,450,2016-05-03,"12:00:00"
"187",4445114986,2,337,363,2016-05-04,"12:00:00"
"188",4445114986,2,462,513,2016-05-05,"12:00:00"
"189",4445114986,2,374,402,2016-05-06,"12:00:00"
"190",4445114986,2,401,436,2016-05-07,"12:00:00"
"191",4445114986,1,361,391,2016-05-08,"12:00:00"
"192",4445114986,1,457,533,2016-05-09,"12:00:00"
"193",4445114986,1,405,426,2016-05-10,"12:00:00"
"194",4445114986,1,499,530,2016-05-11,"12:00:00"
"195",4445114986,1,483,501,2016-05-12,"12:00:00"
"196",4558609924,1,126,137,2016-04-21,"12:00:00"
"197",4558609924,1,103,121,2016-04-26,"12:00:00"
"198",4558609924,1,171,179,2016-04-29,"12:00:00"
"199",4558609924,1,115,129,2016-05-01,"12:00:00"
"200",4558609924,1,123,134,2016-05-08,"12:00:00"
"201",4702921684,1,425,439,2016-04-12,"12:00:00"
"202",4702921684,2,400,430,2016-04-13,"12:00:00"
"203",4702921684,1,384,415,2016-04-14,"12:00:00"
"204",4702921684,1,253,257,2016-04-15,"12:00:00"
"205",4702921684,2,382,406,2016-04-16,"12:00:00"
"206",4702921684,1,591,612,2016-04-17,"12:00:00"
"207",4702921684,1,293,312,2016-04-18,"12:00:00"
"208",4702921684,1,457,487,2016-04-19,"12:00:00"
"209",4702921684,1,454,468,2016-04-20,"12:00:00"
"210",4702921684,1,425,434,2016-04-21,"12:00:00"
"211",4702921684,1,465,475,2016-04-23,"12:00:00"
"212",4702921684,1,480,506,2016-04-24,"12:00:00"
"213",4702921684,1,370,380,2016-04-25,"12:00:00"
"214",4702921684,1,421,429,2016-04-26,"12:00:00"
"215",4702921684,1,432,449,2016-04-27,"12:00:00"
"216",4702921684,1,442,461,2016-04-28,"12:00:00"
"217",4702921684,1,433,447,2016-04-29,"12:00:00"
"218",4702921684,1,479,501,2016-04-30,"12:00:00"
"219",4702921684,1,327,373,2016-05-03,"12:00:00"
"220",4702921684,1,412,434,2016-05-04,"12:00:00"
"221",4702921684,1,414,428,2016-05-05,"12:00:00"
"222",4702921684,1,404,449,2016-05-06,"12:00:00"
"223",4702921684,1,520,543,2016-05-07,"12:00:00"
"224",4702921684,1,520,543,2016-05-07,"12:00:00"
"225",4702921684,1,435,458,2016-05-09,"12:00:00"
"226",4702921684,1,416,431,2016-05-10,"12:00:00"
"227",4702921684,1,354,366,2016-05-11,"12:00:00"
"228",4702921684,1,404,442,2016-05-12,"12:00:00"
"229",5553957443,1,441,464,2016-04-12,"12:00:00"
"230",5553957443,2,455,488,2016-04-13,"12:00:00"
"231",5553957443,1,357,418,2016-04-14,"12:00:00"
"232",5553957443,1,377,409,2016-04-15,"12:00:00"
"233",5553957443,2,651,686,2016-04-16,"12:00:00"
"234",5553957443,1,350,402,2016-04-17,"12:00:00"
"235",5553957443,2,520,541,2016-04-18,"12:00:00"
"236",5553957443,1,357,410,2016-04-19,"12:00:00"
"237",5553957443,1,658,678,2016-04-20,"12:00:00"
"238",5553957443,1,399,431,2016-04-21,"12:00:00"
"239",5553957443,1,322,353,2016-04-22,"12:00:00"
"240",5553957443,2,631,725,2016-04-23,"12:00:00"
"241",5553957443,2,553,640,2016-04-24,"12:00:00"
"242",5553957443,1,433,468,2016-04-25,"12:00:00"
"243",5553957443,1,412,453,2016-04-26,"12:00:00"
"244",5553957443,1,347,391,2016-04-27,"12:00:00"
"245",5553957443,1,421,457,2016-04-28,"12:00:00"
"246",5553957443,1,450,495,2016-04-29,"12:00:00"
"247",5553957443,2,775,843,2016-04-30,"12:00:00"
"248",5553957443,2,622,686,2016-05-01,"12:00:00"
"249",5553957443,1,409,471,2016-05-02,"12:00:00"
